Outcome,Model,Evaluation_weighting,Axis,Metric,Minimum_group,Minimum,Maximum_group,Maximum,Max_minus_min,Eligible_groups_N,Interpretation
MEDNG,XGBoost,Unweighted,Race_ethnicity,AUROC,NH Black,0.7326853400222966,NH White,0.8148838648556432,0.08219852483334666,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Race_ethnicity,Recall,NH Black,0.3695652173913043,Hispanic,0.5061728395061729,0.13660762211486854,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,XGBoost,Unweighted,Race_ethnicity,FNR,Hispanic,0.49382716049382713,NH Black,0.6304347826086957,0.13660762211486854,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Race_ethnicity,FPR,NH White,0.05020181634712412,Hispanic,0.12295081967213115,0.07274900332500703,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Race_ethnicity,Brier,NH White,0.0533074153967431,Hispanic,0.06809398775578866,0.014786572359045562,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Race_ethnicity,Calibration_abs_error,NH White,0.0043385028288045815,Hispanic,0.012843549951293415,0.008505047122488833,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Race_ethnicity,AUPRC,NH Black,0.22951616960198787,Hispanic,0.3819069557770443,0.15239078617505644,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Race_ethnicity,AUROC,NH Black,0.7342526392026575,NH White,0.8131040114137804,0.07885137221112293,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Race_ethnicity,Recall,NH White,0.3885157850721412,Hispanic,0.5438769583375356,0.1553611732653944,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,XGBoost,WTFA_A,Race_ethnicity,FNR,Hispanic,0.4561230416624643,NH White,0.6114842149278589,0.15536117326539456,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Race_ethnicity,FPR,NH White,0.057310435493898,Hispanic,0.12927137892476395,0.07196094343086595,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Race_ethnicity,Brier,NH White,0.05479506366071936,Hispanic,0.07424567165720225,0.01945060799648289,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Race_ethnicity,Calibration_abs_error,NH White,0.002571047454330011,NH Black,0.022240781473205726,0.019669734018875715,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Poverty,AUPRC,>=200% FPL,0.2903630127324821,<100% FPL,0.3360523975883999,0.04568938485591778,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Poverty,AUROC,<100% FPL,0.740083063209076,>=200% FPL,0.8188628170285881,0.07877975381951208,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Poverty,Recall,>=200% FPL,0.34177215189873417,100-199% FPL,0.49586776859504134,0.15409561669630717,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,XGBoost,Unweighted,Poverty,FNR,100-199% FPL,0.5041322314049587,>=200% FPL,0.6582278481012658,0.15409561669630711,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Poverty,FPR,>=200% FPL,0.042292581465218394,100-199% FPL,0.12077294685990338,0.07848036539468498,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Poverty,Brier,>=200% FPL,0.042900173205936226,<100% FPL,0.09109154228301768,0.04819136907708145,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,Unweighted,Poverty,Calibration_abs_error,>=200% FPL,0.0036881236274741783,<100% FPL,0.015463554635917878,0.0117754310084437,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Poverty,AUPRC,>=200% FPL,0.27446271935457384,100-199% FPL,0.38120103801738225,0.10673831866280842,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Poverty,AUROC,<100% FPL,0.7533437378878445,>=200% FPL,0.8162189206129384,0.06287518272509396,3,Descriptive between-group max-minus-min span
MEDNG,XGBoost,WTFA_A,Poverty,Recall,>=200% FPL,0.3611261079689071,100-199% FPL,0.5507749766257276,0.1896488686568205,3,Unsigned equal-opportunity TPR span at locked threshold
MEDNG,XGBoost,WTFA_A,Poverty,FNR,100-199% FPL,0.4492250233742722,>=200% FPL,0.638873892031093,0.1896488686568208,3,Descriptive between-group max-minus-min span
