Outcome,Model,Evaluation_weighting,Axis,Group,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,RF,Unweighted,Race_ethnicity,Hispanic,AUROC,0.8204672275710526,0.7699486404099658,0.8748730975217205,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Hispanic,AUPRC,0.40168540363942007,0.3059790368309597,0.5202000832227195,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Hispanic,Recall,0.7777777777777778,0.6882913961038961,0.8733262589234033,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Hispanic,FNR,0.2222222222222222,0.12667374107659657,0.3117086038961039,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Hispanic,FPR,0.29508196721311475,0.2619751516337312,0.3248590744201385,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Hispanic,Brier,0.06769464001074443,0.055430089472153735,0.08214459180508832,400,400
MEDNG,RF,Unweighted,Race_ethnicity,Hispanic,Calibration_abs_error,0.009962571846257318,0.0006661216132841736,0.024889062298312278,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Hispanic,AUROC,0.828808186494288,0.7674150531903557,0.8810822620864744,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Hispanic,AUPRC,0.4615145677068986,0.3319752718620023,0.5911762654259505,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Hispanic,Recall,0.8020162739356084,0.7017887611949747,0.8958303410985563,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Hispanic,FNR,0.19798372606439157,0.10416965890144352,0.2982112388050253,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Hispanic,FPR,0.32113692691846274,0.2841204060135915,0.354282919803243,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Hispanic,Brier,0.07351282801084892,0.058246186121927127,0.08927107253716597,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,Hispanic,Calibration_abs_error,0.0037875104451300656,0.0002240625302671073,0.024430647844029547,400,400
MEDNG,RF,Unweighted,Race_ethnicity,NH White,AUROC,0.8118207754684243,0.7858167673534601,0.8361818516055806,400,400
MEDNG,RF,Unweighted,Race_ethnicity,NH White,AUPRC,0.2979241618882363,0.25086442749573357,0.34934858078052083,400,400
MEDNG,RF,Unweighted,Race_ethnicity,NH White,Recall,0.46402877697841727,0.40691938243758263,0.518229259589652,400,400
MEDNG,RF,Unweighted,Race_ethnicity,NH White,FNR,0.5359712230215827,0.4817707404103479,0.5930806175624174,400,400
MEDNG,RF,Unweighted,Race_ethnicity,NH White,FPR,0.09788092835519677,0.08858011375271087,0.10774540458704457,400,400
MEDNG,RF,Unweighted,Race_ethnicity,NH White,Brier,0.054666378852677465,0.04911808841247375,0.06012755728773083,400,400
MEDNG,RF,Unweighted,Race_ethnicity,NH White,Calibration_abs_error,0.005725055720887835,0.0005869349404682935,0.011616200510047397,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,NH White,AUROC,0.8101180790899718,0.7860218509077311,0.8401149288523849,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,NH White,AUPRC,0.3139119152619033,0.24843626010514216,0.3811495764691489,400,400
MEDNG,RF,WTFA_A,Race_ethnicity,NH White,Recall,0.47219819279532604,0.40076142479761506,0.544044693582328,400,400
