Outcome,Model,Evaluation_weighting,Axis,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,XGBoost,WTFA_A,Sex,AUPRC,0.014268597894361745,0.001492174284998471,0.12132715224838263,400,400
MEDNG,XGBoost,WTFA_A,Sex,AUROC,0.02074284820697636,0.001202060923478013,0.060049732447362815,400,400
MEDNG,XGBoost,WTFA_A,Sex,Recall,0.0008145646848329857,0.0026755533425972576,0.13194694112056596,400,400
MEDNG,XGBoost,WTFA_A,Sex,FNR,0.0008145646848329857,0.0026755533425972117,0.13194694112056596,400,400
MEDNG,XGBoost,WTFA_A,Sex,FPR,0.024925108953811184,0.008301221280373338,0.04200962879994928,400,400
MEDNG,XGBoost,WTFA_A,Sex,Brier,0.015450158931609045,0.005268476735178891,0.02581486815767367,400,400
MEDNG,XGBoost,WTFA_A,Sex,Calibration_abs_error,0.0016601177538577636,0.00011058795323220761,0.011209981287085996,400,400
MEDNG,XGBoost,Unweighted,Age,AUPRC,0.25969167409789573,0.1712835391733347,0.35357846096681544,400,400
MEDNG,XGBoost,Unweighted,Age,AUROC,0.04082048962185991,0.020211224409082525,0.1504185982604033,400,400
MEDNG,XGBoost,Unweighted,Age,Recall,0.4602604400538841,0.35905806085384834,0.5656680028718438,400,400
MEDNG,XGBoost,Unweighted,Age,FNR,0.4602604400538841,0.35905806085384834,0.5656680028718439,400,400
MEDNG,XGBoost,Unweighted,Age,FPR,0.09784236067583953,0.08410091999967739,0.11467944417764522,400,400
MEDNG,XGBoost,Unweighted,Age,Brier,0.0508049953139183,0.04024538326678644,0.06382824230638254,400,400
MEDNG,XGBoost,Unweighted,Age,Calibration_abs_error,0.009910044716597392,0.00311430378257011,0.022242176047916017,400,400
MEDNG,XGBoost,WTFA_A,Age,AUPRC,0.25575114488155226,0.13624736054605735,0.38055824541538325,400,400
MEDNG,XGBoost,WTFA_A,Age,AUROC,0.05869613916274741,0.026125677768607018,0.15474896781333536,400,400
MEDNG,XGBoost,WTFA_A,Age,Recall,0.4872761569904958,0.37573382513634657,0.6003193661622992,400,400
MEDNG,XGBoost,WTFA_A,Age,FNR,0.4872761569904958,0.3757338251363465,0.6003193661622989,400,400
MEDNG,XGBoost,WTFA_A,Age,FPR,0.10869977548143359,0.08655285142325667,0.13151689896992758,400,400
MEDNG,XGBoost,WTFA_A,Age,Brier,0.044134216774941316,0.03325212591591134,0.06140906004561118,400,400
MEDNG,XGBoost,WTFA_A,Age,Calibration_abs_error,0.008024258976973835,0.0028425051805492565,0.02241647282934278,400,400
MEDDL,LR,Unweighted,Race_ethnicity,AUPRC,0.03065658425883705,0.013481176635275463,0.19328573072220342,400,400
MEDDL,LR,Unweighted,Race_ethnicity,AUROC,0.05317670882097558,0.017995257749642165,0.14154853959028688,400,400
MEDDL,LR,Unweighted,Race_ethnicity,Recall,0.11372734934681844,0.029222264213490324,0.24630111426710308,400,400
MEDDL,LR,Unweighted,Race_ethnicity,FNR,0.11372734934681833,0.02922226421349038,0.24630111426710308,400,400
MEDDL,LR,Unweighted,Race_ethnicity,FPR,0.08100764735624137,0.05787082178594963,0.10580662077552581,400,400
MEDDL,LR,Unweighted,Race_ethnicity,Brier,0.016151363370292174,0.003727588261248297,0.034401230427987754,400,400
MEDDL,LR,Unweighted,Race_ethnicity,Calibration_abs_error,0.0048813875048071415,0.0018483740408453402,0.02571878010141261,400,400
MEDDL,LR,WTFA_A,Race_ethnicity,AUPRC,0.1119292398125395,0.03267011387432892,0.31312237355583633,400,400
MEDDL,LR,WTFA_A,Race_ethnicity,AUROC,0.07409245532025432,0.024529908901647284,0.16412296638612722,400,400
MEDDL,LR,WTFA_A,Race_ethnicity,Recall,0.1650479196493121,0.05310537662584436,0.33706048764054614,400,400
MEDDL,LR,WTFA_A,Race_ethnicity,FNR,0.1650479196493121,0.05310537662584463,0.337060487640546,400,400
MEDDL,LR,WTFA_A,Race_ethnicity,FPR,0.09087735283231653,0.061083879287327426,0.12449554164009555,400,400
MEDDL,LR,WTFA_A,Race_ethnicity,Brier,0.021814236880180818,0.0055036513540752865,0.044822274596220395,400,400
MEDDL,LR,WTFA_A,Race_ethnicity,Calibration_abs_error,0.0028292007139196496,0.0016812301811169013,0.029240790976613286,400,400
MEDDL,LR,Unweighted,Poverty,AUPRC,0.06293628557083142,0.012742983629240683,0.1614963671357738,400,400
MEDDL,LR,Unweighted,Poverty,AUROC,0.072523787157181,0.022925838096474055,0.14619751058269712,400,400
MEDDL,LR,Unweighted,Poverty,Recall,0.16443053070960045,0.08294275343301553,0.27626348266006723,400,400
MEDDL,LR,Unweighted,Poverty,FNR,0.1644305307096005,0.08294275343301559,0.27626348266006723,400,400
MEDDL,LR,Unweighted,Poverty,FPR,0.09023004698061905,0.07357754487064572,0.11380377992082301,400,400
MEDDL,LR,Unweighted,Poverty,Brier,0.03997584817969932,0.02581833425915001,0.056666345904199215,400,400
MEDDL,LR,Unweighted,Poverty,Calibration_abs_error,0.015549715200274206,0.0018480909216825668,0.037861964459021555,400,400
MEDDL,LR,WTFA_A,Poverty,AUPRC,0.1252423506058617,0.0324702355313356,0.24720868740765192,400,400
MEDDL,LR,WTFA_A,Poverty,AUROC,0.04742059856312453,0.01025204304563221,0.1338459297299069,400,400
MEDDL,LR,WTFA_A,Poverty,Recall,0.19089716307843546,0.09929587700589962,0.31896150780190424,400,400
