Outcome,Model,Comparison,Metric,Before,After,Absolute_delta
MEDDL,XGBoost,Evaluation_weighting_effect,AUPRC,0.31516343360512417,0.32930025115608813,0.014136817550963965
MEDDL,XGBoost,Evaluation_weighting_effect,Recall,0.5200764818355641,0.5325850030682555,0.012508521232691416
MEDDL,XGBoost,Evaluation_weighting_effect,Precision,0.28601472134595163,0.2923443467382042,0.006329625392252569
MEDDL,XGBoost,Evaluation_weighting_effect,F1,0.36906377204884666,0.3774825440289709,0.008418771980124251
MEDDL,XGBoost,Evaluation_weighting_effect,Specificity,0.8848371777476255,0.8743663990590675,-0.010470778688557947
MEDDL,XGBoost,Evaluation_weighting_effect,Brier,0.06491495979853423,0.06993301417316877,0.00501805437463454
MEDDL,XGBoost,Evaluation_weighting_effect,Observed_prevalence,0.08147686555538246,0.08879820015169453,0.007321334596312068
MEDDL,XGBoost,Evaluation_weighting_effect,Mean_predicted_probability,0.08113879868972727,0.08560433983999247,0.004465541150265193
MEDDL,XGBoost,Evaluation_weighting_effect,Predicted_positive_rate,0.14815391805577194,0.16177015299904712,0.013616234943275185
MEDDL,XGBoost,Training_weighting_effect,AUROC,0.8016429683496495,0.7979911012254537,-0.003651867124195851
MEDDL,XGBoost,Training_weighting_effect,AUPRC,0.32930025115608813,0.31338649219537107,-0.01591375896071706
MEDDL,XGBoost,Training_weighting_effect,Recall,0.5325850030682555,0.529988773055165,-0.002596230013090506
MEDDL,XGBoost,Training_weighting_effect,Precision,0.2923443467382042,0.26784302867118465,-0.02450131806701955
MEDDL,XGBoost,Training_weighting_effect,F1,0.3774825440289709,0.3558489341479262,-0.021633609881044735
MEDDL,XGBoost,Training_weighting_effect,Specificity,0.8743663990590675,0.8588177435067034,-0.015548655552364177
MEDDL,XGBoost,Training_weighting_effect,Brier,0.06993301417316877,0.07050733920213338,0.000574325028964609
MEDDL,XGBoost,Training_weighting_effect,Observed_prevalence,0.08879820015169453,0.08879820015169453,0.0
MEDDL,XGBoost,Training_weighting_effect,Mean_predicted_probability,0.08560433983999247,0.0907999353722585,0.005195595532266034
MEDDL,XGBoost,Training_weighting_effect,Predicted_positive_rate,0.16177015299904712,0.17570757537124057,0.013937422372193448
MEDDL,XGBoost,Combined_weighting_effect,AUROC,0.803648680377013,0.7979911012254537,-0.005657579151559289
MEDDL,XGBoost,Combined_weighting_effect,AUPRC,0.31516343360512417,0.31338649219537107,-0.0017769414097530967
MEDDL,XGBoost,Combined_weighting_effect,Recall,0.5200764818355641,0.529988773055165,0.00991229121960091
MEDDL,XGBoost,Combined_weighting_effect,Precision,0.28601472134595163,0.26784302867118465,-0.01817169267476698
MEDDL,XGBoost,Combined_weighting_effect,F1,0.36906377204884666,0.3558489341479262,-0.013214837900920484
MEDDL,XGBoost,Combined_weighting_effect,Specificity,0.8848371777476255,0.8588177435067034,-0.026019434240922124
MEDDL,XGBoost,Combined_weighting_effect,Brier,0.06491495979853423,0.07050733920213338,0.005592379403599149
MEDDL,XGBoost,Combined_weighting_effect,Observed_prevalence,0.08147686555538246,0.08879820015169453,0.007321334596312068
MEDDL,XGBoost,Combined_weighting_effect,Mean_predicted_probability,0.08113879868972727,0.0907999353722585,0.009661136682531227
MEDDL,XGBoost,Combined_weighting_effect,Predicted_positive_rate,0.14815391805577194,0.17570757537124057,0.027553657315468633
MEDNG,LR,Evaluation_weighting_effect,AUROC,0.7942410308224905,0.79674374451312,0.002502713690629488
MEDNG,LR,Evaluation_weighting_effect,AUPRC,0.3007181583801104,0.3173907179532671,0.01667255957315672
MEDNG,LR,Evaluation_weighting_effect,Recall,0.4406392694063927,0.495535857670429,0.05489658826403632
MEDNG,LR,Evaluation_weighting_effect,Precision,0.27729885057471265,0.27477990823973775,-0.002518942334974905
