Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,Unweighted,12,SEX_A,0.08698613407798962,3.499367892450525,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,1,NOTCOV_A,0.4168096824594613,16.819391115011566,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,2,AGEP_A,0.39808303042433674,16.06372036620615,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,3,FDSCAT3_A,0.36037540678055,14.542116390165623,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,4,EDUCP_A,0.20876358828784472,8.424171965650084,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,5,HISPALLP_A,0.18986161982913963,7.661426727884419,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,6,PHSTAT_A,0.18613315321468046,7.5109730774849925,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,7,EMPWRKLSW1_A,0.1399215248834491,5.646209652657105,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,8,CHRONIC_BURDEN_CAT,0.13780311816370946,5.560726247018046,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,9,DISAB3_A,0.11981988663486186,4.835054514032541,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,10,K6SPD_A,0.11725358712740928,4.731497430426873,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,11,RATCAT_A,0.10733171682115632,4.331123292550364,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_4,WTFA_A,12,SEX_A,0.09599333781505456,3.873589220912262,252,1789827.5900000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,1,AGEP_A,0.5740664607832585,21.691641327177393,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,2,NOTCOV_A,0.402785316551941,15.219622143710353,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,3,FDSCAT3_A,0.3730866375729851,14.097429616692615,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,4,EDUCP_A,0.23295490463363688,8.802420245602043,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,5,PHSTAT_A,0.2179682110969098,8.236133930189256,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,6,HISPALLP_A,0.1695539836047301,6.406756794204236,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,7,CHRONIC_BURDEN_CAT,0.14474785015479888,5.469433703118512,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,8,EMPWRKLSW1_A,0.1280894622732843,4.8399808440858,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,9,RATCAT_A,0.11744344365766814,4.437711014461338,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,10,K6SPD_A,0.09916227842555199,3.7469399864572335,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,11,DISAB3_A,0.09753497072363278,3.685450633898955,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,Unweighted,12,SEX_A,0.08909344812608928,3.3664797604022882,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,1,AGEP_A,0.49175489262197825,18.781760473942686,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,2,NOTCOV_A,0.4496110235046242,17.172145466378737,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,3,FDSCAT3_A,0.36513815024100477,13.945844526648933,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,4,PHSTAT_A,0.24479800155090678,9.349652639172325,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,5,EDUCP_A,0.2395424803568823,9.148926745616698,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,6,HISPALLP_A,0.17845951614843888,6.815964491424529,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,7,CHRONIC_BURDEN_CAT,0.1421939709286785,5.430862291133712,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,8,EMPWRKLSW1_A,0.12332197137915565,4.710077647154654,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,9,K6SPD_A,0.10204067480166568,3.8972739091741344,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,10,RATCAT_A,0.096592474182864,3.6891889453607085,331,2620717.5870000003
