Outcome,Model,Split,Explained_output,Aggregation,Rank,Encoded_feature,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,45,RATCAT_A=3,RATCAT_A,0.00013969837544684872,0.14865114165067383,1.3340513412415071e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,46,K6SPD_A=Missing,K6SPD_A,0.0001383112023585244,0.1471750696306026,5.90235807646388e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,47,EDUCP_A=8,EDUCP_A,0.00013238182896725944,0.14086570403443632,1.3018278602812564e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,48,RATCAT_A=11,RATCAT_A,0.00013179884387881633,0.14024535752943806,8.08776998936866e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,49,EDUCP_A=9,EDUCP_A,0.00012834715624391964,0.1365724636542754,1.088489331238976e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,50,RATCAT_A=4,RATCAT_A,0.0001111935923606508,0.11831958958562995,2.3216960562297495e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,51,RATCAT_A=2,RATCAT_A,8.493149141130307e-05,0.09037444508571338,2.970669998732544e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,52,RATCAT_A=12,RATCAT_A,7.037113316554678e-05,0.07488096587272157,1.358867636699541e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,53,HISPALLP_A=6,HISPALLP_A,5.889570615128268e-05,0.06267012003329832,6.302365590328321e-07,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,54,CHRONIC_BURDEN_CAT=Missing/indeterminate,CHRONIC_BURDEN_CAT,5.118677206264558e-05,0.054467148098082785,-4.298786265760513e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,55,EDUCP_A=2,EDUCP_A,4.771213773432036e-05,0.05076983695847915,1.2583391808790437e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,56,EDUCP_A=6,EDUCP_A,4.0336467975063575e-05,0.04292148706432435,1.5193030234670494e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,57,RATCAT_A=13,RATCAT_A,3.9322184137101434e-05,0.04184220142489854,9.01770460602746e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,58,HISPALLP_A=5,HISPALLP_A,3.5759726437212e-05,0.03805143862986316,1.4789475167070662e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,59,NOTCOV_A=Missing,NOTCOV_A,1.3779511197411238e-05,0.014662590487050865,2.4226074865448325e-06,6417
