Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,Unweighted,12,HISPALLP_A,0.08554895547427832,2.9284137897673874,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,1,FDSCAT3_A,0.5258308684592242,17.375737395215737,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,2,NOTCOV_A,0.43590540332842487,14.404209170115793,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,3,PHSTAT_A,0.3704613508428413,12.241653226224122,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,4,AGEP_A,0.3504183176219657,11.579344292421908,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,5,EMPWRKLSW1_A,0.3159505585501416,10.44037972005196,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,6,EDUCP_A,0.2394318723488766,7.911869742773589,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,7,RATCAT_A,0.1888131464080662,6.239207025567363,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,8,CHRONIC_BURDEN_CAT,0.18822368071828072,6.219728517089505,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,9,SEX_A,0.11481940748033331,3.794132280781552,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,10,K6SPD_A,0.1116189041821737,3.6883737409600057,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,11,DISAB3_A,0.09873196017622003,3.2625330984537464,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_1,WTFA_A,12,HISPALLP_A,0.08603080693496502,2.8428317903447233,188,1438230.0329999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,1,AGEP_A,0.3110155512740043,13.139623369670003,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,2,RATCAT_A,0.2971883977716224,12.555460974729666,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,3,EMPWRKLSW1_A,0.2971727643549554,12.554800502267295,470,3697012.5979999998
