Outcome,Model,Feature_construct,Explained_output,Level,N,Weighted_mean_SHAP,Weighted_mean_abs_SHAP,Weight_sum
MEDDL,RF,PHSTAT_A,base_estimator_positive_class_probability,code_4,860,0.014773384507888582,0.014780126173398333,6013706.5370000005
MEDDL,RF,PHSTAT_A,base_estimator_positive_class_probability,code_5,232,0.019610929151577607,0.019610929151577607,1627632.489
MEDDL,RF,DISAB3_A,base_estimator_positive_class_probability,code_1,748,0.02770206035762442,0.02770206035762442,5093352.409
MEDDL,RF,DISAB3_A,base_estimator_positive_class_probability,code_2,5671,-0.0032751817682315837,0.003284869470223596,45176831.653000005
MEDDL,RF,K6SPD_A,base_estimator_positive_class_probability,Missing/special,121,0.009915871036622814,0.010261923382355976,915380.664
MEDDL,RF,K6SPD_A,base_estimator_positive_class_probability,code_1,235,0.11655363852388968,0.11655363852388968,1796026.582
MEDDL,RF,K6SPD_A,base_estimator_positive_class_probability,code_2,6063,-0.004574130704194824,0.004574130704194824,47558776.816
MEDDL,RF,CHRONIC_BURDEN_CAT,base_estimator_positive_class_probability,Missing/special,1218,0.0035336343616877144,0.003725532283333001,7403342.901000001
MEDDL,RF,CHRONIC_BURDEN_CAT,base_estimator_positive_class_probability,code_0,2430,-0.004452907859237877,0.004465221122552608,22469902.56
MEDDL,RF,CHRONIC_BURDEN_CAT,base_estimator_positive_class_probability,code_1,1696,0.0032201858949153263,0.0032235706800748834,13350298.159999998
MEDDL,RF,CHRONIC_BURDEN_CAT,base_estimator_positive_class_probability,code_2,1075,0.007244636486428805,0.00724485586003178,7046640.441
MEDDL,XGBoost,SEX_A,base_estimator_raw_margin_log_odds,Missing/special,1,-0.11556199938058853,0.11556199938058853,4611.755
MEDDL,XGBoost,SEX_A,base_estimator_raw_margin_log_odds,code_1,2958,-0.07183689337374712,0.07183689337374712,24662417.391999997
MEDDL,XGBoost,SEX_A,base_estimator_raw_margin_log_odds,code_2,3460,-0.07039965782945774,0.07039965782945774,25603154.915
MEDDL,XGBoost,HISPALLP_A,base_estimator_raw_margin_log_odds,code_1,935,-0.9505279526497575,0.9505279526497575,9079677.384
MEDDL,XGBoost,HISPALLP_A,base_estimator_raw_margin_log_odds,code_2,4243,-0.9072920982576135,0.9072920982576135,30287641.996999998
MEDDL,XGBoost,HISPALLP_A,base_estimator_raw_margin_log_odds,code_3,671,-0.9301494919295437,0.9301494919295437,6134871.62
MEDDL,XGBoost,HISPALLP_A,base_estimator_raw_margin_log_odds,code_4,384,-0.9252530793298267,0.9252530793298267,3311289.384
