Outcome,Model,Split,Explained_output,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,10,SEX_A,0.10720459700409223,4.346254661132444,-0.0012337545456195898,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,11,DISAB3_A,0.07481686757243568,3.0332016397171366,-0.00053156680216696,6419
MEDDL,LR,locked_test,base_estimator_log_odds,Unweighted,12,K6SPD_A,0.05986559259060721,2.427051806635218,-0.00025776111686237217,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,1,AGEP_A,0.36098579792469776,14.308818520708394,0.10240968418037082,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,2,PHSTAT_A,0.3345853340380691,13.262352291876072,-0.02185628757185316,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,3,EMPWRKLSW1_A,0.27167199084841054,10.768582134138022,0.031794891627009984,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,4,FDSCAT3_A,0.25076891672085755,9.940022407036338,-0.010673330601016759,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,5,EDUCP_A,0.24905675058526114,9.872155264748757,-0.0393136442942025,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,6,RATCAT_A,0.24342709867386617,9.649006132572334,0.025036596813140775,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,7,NOTCOV_A,0.22627101620069076,8.968970319401144,0.05849938924727651,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,8,HISPALLP_A,0.18503048579118686,7.3342709247993545,-0.01138738188715473,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,9,CHRONIC_BURDEN_CAT,0.1635594768180633,6.483199296444009,-0.030391253297681997,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,10,SEX_A,0.10777611794096477,4.272048710363459,-0.007669454393692957,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,11,DISAB3_A,0.07061755179635501,2.799150932917176,-0.0060280529893370115,6419
MEDDL,LR,locked_test,base_estimator_log_odds,WTFA_A,12,K6SPD_A,0.059069899598855245,2.341423064994927,-0.0008990883239597187,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,1,FDSCAT3_A,0.0214167553035049,19.12210720388036,-0.0010907845983304967,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,2,NOTCOV_A,0.021286768896335944,19.006047885944128,-0.0007135945486878575,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,3,AGEP_A,0.014340007237796087,12.803580739454112,0.00042732027300767584,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,4,EMPWRKLSW1_A,0.011680780408615562,10.429270542301927,-3.3522196822278604e-05,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,5,K6SPD_A,0.008662862645270395,7.734700511250728,9.180741542346533e-05,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,6,PHSTAT_A,0.00855251066475025,7.636171935294062,0.00027252608873621053,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,7,RATCAT_A,0.007378651798688687,6.588083428844104,0.00047572894173523246,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,8,DISAB3_A,0.005731142551764268,5.1170927025356585,0.00022197706161354008,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,9,CHRONIC_BURDEN_CAT,0.004110448768946082,3.6700443602202384,0.0009018632010844909,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,10,SEX_A,0.0030319172734435142,2.7070695964199354,3.731182275365001e-05,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,11,EDUCP_A,0.0030312479599974474,2.706471994995849,0.0002532869369667735,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,Unweighted,12,HISPALLP_A,0.002776881572915982,2.4793590988588936,0.00014354495739679369,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,1,NOTCOV_A,0.023700613769637193,20.509051454067816,0.0024267999748154323,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,2,FDSCAT3_A,0.022145769196780206,19.1635847223727,-0.0004812075278879065,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,3,AGEP_A,0.013407028741232625,11.601616944298872,0.0038020502098234633,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,4,EMPWRKLSW1_A,0.011389494053945765,9.855766684296668,0.0014644101429871108,6419
