Outcome,Model,Evaluation_weighting,Selected_probability,Locked_threshold,Axis,Group,N,Positive_N,Negative_N,FN_weighted_count,FP_weighted_count,FNR,FPR,Share_of_all_FN,Share_of_all_FP,Eligibility_rule,Interpretation_boundary
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Sex,Female,3458,259,3199,149.0,236.0,0.5752895752895753,0.07377305407939981,0.5665399239543726,0.6243386243386243,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Age,18-34,1295,114,1181,61.0,113.0,0.5350877192982456,0.09568162574089754,0.23193916349809887,0.29894179894179895,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Age,35-49,1422,131,1291,63.0,140.0,0.48091603053435117,0.10844306738962045,0.23954372623574144,0.37037037037037035,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Age,50-64,1524,146,1378,94.0,110.0,0.6438356164383562,0.07982583454281568,0.3574144486692015,0.291005291005291,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,Unweighted,Raw,0.1849999999999999,Age,65-74,1166,34,1132,32.0,12.0,0.9411764705882353,0.01060070671378092,0.12167300380228137,0.031746031746031744,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Race_ethnicity,Hispanic,935,81,854,403368.23699999996,1058618.329,0.4561230416624643,0.12927137892476395,0.20190847677649232,0.30613558124827434,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Race_ethnicity,NH White,4242,278,3964,1253549.2110000001,1617823.8220000002,0.6114842149278589,0.057310435493898,0.627471844684151,0.467848914512111,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Race_ethnicity,NH Black,670,46,624,217795.92299999998,607141.696,0.5735730301797576,0.10559762196642364,0.10901910221815558,0.175575720647685,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Poverty,<100% FPL,697,80,617,300642.06700000004,555107.2760000001,0.5050902079717986,0.12051848034585144,0.15048825424225498,0.1605281940979942,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Poverty,100-199% FPL,1156,121,1035,458175.2609999999,1086936.3149999997,0.4492250233742722,0.14336697234063472,0.22934247310400346,0.3143246923437525,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Poverty,>=200% FPL,4564,237,4327,1238960.296,1815961.273,0.638873892031093,0.05262441500174448,0.6201692726537417,0.5251471135582533,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Insurance,Uninsured,471,122,349,307032.018,1455650.698,0.2525124232943555,0.41307972646311497,0.15368678391003943,0.4209510267478907,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Insurance,Insured,5927,314,5613,1666592.4219999998,1970127.923,0.7214485037588465,0.04578837187737771,0.8342231897978251,0.5697296564010847,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Sex,Male,2958,179,2779,845151.7519999999,1424343.566,0.5625221945878252,0.06150019468039657,0.423045959593749,0.4118975021777182,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Sex,Female,3458,259,3199,1152625.872,2033661.2980000002,0.5617076299029922,0.08642530363420775,0.576954040406251,0.5881024978222819,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Age,18-34,1295,114,1181,626159.836,1130091.293,0.5386209748325139,0.0872313773069414,0.3134281956498678,0.3268044255128035,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Age,35-49,1422,131,1291,530759.499,1378243.2110000001,0.4652392554296774,0.1206441136616951,0.26567496433226645,0.39856601283253723,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Age,50-64,1524,146,1378,611770.544,857176.2720000002,0.6038051763044504,0.08003736947008477,0.3062255461521778,0.24788174271347704,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,XGBoost,WTFA_A,Raw,0.1849999999999999,Age,65-74,1166,34,1132,176541.805,73906.914,0.9525154124201732,0.011944338180261508,0.08836909718035765,0.021372703887555897,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Race_ethnicity,Hispanic,935,92,843,48.0,124.0,0.5217391304347826,0.14709371293001186,0.1605351170568562,0.2672413793103448,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Race_ethnicity,NH White,4243,339,3904,202.0,258.0,0.5958702064896755,0.06608606557377049,0.6755852842809364,0.5560344827586207,PASS,Group-level aggregate; do not use for individual micro-targeting.
